applicant_id,name,name_first,name_last,address_full,state,zip_code,dob,age,fico,loan_to_value,gender,occupation,loan_term,rate_type,denied
10000,Brian Smith,Brian,Smith,"3687 Cynthia Fall
North Lisa, MH 04169",MH,04169,1966-03-13,57,683.0,44.19,male,lawyer,30,FIXED,0
10001,Amber Thomas,Amber,Thomas,"939 Pena Plains Suite 270
Nixonmouth, ND 25711",ND,25711,1971-08-30,51,803.0,45.94,female,plumber,30,FIXED,0
10002,Amanda Miller,Amanda,Miller,"112 Harrison Parkway Suite 659
Deckerview, CO 06977",CO,06977,1965-09-10,57,790.0,36.86,female,teacher,30,FIXED,0
10003,Pamela Wheeler,Pamela,Wheeler,"0617 Murphy Crossing
Jacobsbury, WI 04868",WI,04868,1973-07-26,49,337.0,92.44,female,student,30,FIXED,1
10004,Emily Martinez,Emily,Martinez,"06663 Smith Trail Apt. 533
Garzaview, NY 01466",NY,01466,1972-09-03,50,354.0,91.16,female,salesman,30,FIXED,1
10005,Mr. Jason Murphy,Jason,Murphy,"802 Shelley Trafficway
South Angela, MN 82107",MN,82107,1987-04-21,36,489.0,60.77,male,plumber,30,FIXED,1
10006,Catherine Shaffer,Catherine,Shaffer,"PSC 2098, Box 5691
APO AA 45065",AA,45065,1986-12-26,36,425.0,63.06,female,electrician,30,FIXED,1
10007,Alexander Prince,Alexander,Prince,"937 Robert Street
Laurafort, GU 70436",GU,70436,1984-06-11,38,759.0,35.16,male,retired,30,FIXED,0
10008,Larry Petersen,Larry,Petersen,"65291 Lewis Fall
Gomezstad, VT 12226",VT,12226,1967-06-17,55,794.0,36.27,male,software developer,30,FIXED,0
10009,Danny Lewis,Danny,Lewis,"684 Robinson Mountain
New Jessicaside, CA 06627",CA,06627,1997-01-11,26,475.0,79.63,male,accountant,30,FIXED,1
10010,James Haynes,James,Haynes,"19797 Kerry Path
Johnsonfort, CA 05907",CA,05907,1951-09-20,71,539.0,68.76,male,librarian,30,FIXED,1
10011,David Goodwin,David,Goodwin,"2877 Sean Turnpike Apt. 653
West Richard, AR 62251",AR,62251,1951-04-22,72,555.0,74.96,male,accountant,30,FIXED,0
10012,Marissa Wu,Marissa,Wu,"886 Joseph Point
Lindseyville, NJ 09530",NJ,09530,1985-04-30,37,728.0,67.06,female,salesman,30,FIXED,0
10013,Steven Martin,Steven,Martin,"44234 Aaron Ways Apt. 066
Sanchezside, VT 39379",VT,39379,1954-10-17,68,778.0,36.75,male,student,15,FIXED,0
10014,Theresa Garcia,Theresa,Garcia,"PSC 7308, Box 5006
APO AP 38834",AP,38834,1971-12-21,51,445.0,77.16,female,student,30,FIXED,1
10015,Michael Johnson,Michael,Johnson,"93693 Ryan Burg
Robertstad, CT 05968",CT,05968,1959-04-20,64,622.0,61.19,male,teacher,30,FIXED,1
10016,Anthony Cooke,Anthony,Cooke,"6053 Reid Brooks
Romeromouth, OH 02080",OH,02080,1972-12-24,50,749.0,40.39,male,fireman,30,FIXED,0
10017,Brandon Phillips,Brandon,Phillips,"11759 Casey Mission Apt. 483
South Rachel, TN 21514",TN,21514,1950-06-12,72,806.0,15.45,male,retired,30,FIXED,0
10018,Scott Mccullough,Scott,Mccullough,"9790 Cobb Manor Apt. 484
Port Samantha, FM 66507",FM,66507,1961-11-08,61,341.0,80.18,male,electrician,30,FIXED,1
10019,John Luna,John,Luna,"408 Caitlin Lodge Suite 192
Robinsonhaven, VA 03149",VA,03149,2001-01-10,22,800.0,35.47,male,salesman,30,FIXED,0
10020,George Perez,George,Perez,"28526 Fields Underpass Apt. 646
Cantrellberg, NM 04864",NM,04864,1970-04-28,52,347.0,84.76,male,salesman,30,FIXED,1
10021,Diane Hanna,Diane,Hanna,"03930 Mary Common Apt. 053
New Brandonberg, AZ 99270",AZ,99270,1957-10-21,65,501.0,55.23,female,salesman,30,FIXED,1
10022,Cassandra Todd,Cassandra,Todd,"Unit 4290 Box 4593
DPO AP 04248",AP,04248,1968-07-20,54,618.0,69.73,female,salesman,30,FIXED,0
10023,Richard Barnes,Richard,Barnes,"12100 Williams Mews
Patriciaview, SC 65290",SC,65290,1974-02-10,49,782.0,40.18,male,accountant,30,FIXED,0
10024,Christian Jones,Christian,Jones,"15773 Kimberly Centers Suite 785
Port Alex, PR 21003",PR,21003,1959-07-26,63,468.0,88.41,male,dentist,30,FIXED,1
10025,Andrea Graham,Andrea,Graham,"63123 Reyes Mountains
Lake Ericaborough, UT 13892",UT,13892,1973-12-22,49,595.0,43.65,female,salesman,30,FIXED,1
10026,Toni Wise,Toni,Wise,"485 Wesley Vista
Port Timothy, MH 82448",MH,82448,1977-10-28,45,538.0,57.28,male,student,15,FIXED,1
10027,Kathy Randall,Kathy,Randall,"207 April Springs
East Christopher, TN 31159",TN,31159,1951-11-27,71,805.0,28.91,female,teacher,30,FIXED,0
10028,Susan Werner,Susan,Werner,"453 Melissa Ports
Claytonstad, PR 01054",PR,01054,1973-07-07,49,803.0,30.38,female,nurse,30,FIXED,1
10029,Ryan Taylor,Ryan,Taylor,"203 Kristina Stravenue Suite 496
Thompsonmouth, GA 38864",GA,38864,1954-03-29,69,787.0,29.25,male,electrician,30,FIXED,0
10030,Tracey Walker,Tracey,Walker,"0763 Shaun Branch Suite 526
West Michelle, AL 38391",AL,38391,1974-01-27,49,532.0,55.0,female,librarian,30,FIXED,1
10031,Rodney Ford,Rodney,Ford,"1154 Joseph Trail
East Nicole, SD 61562",SD,61562,1951-10-19,71,392.0,80.87,male,stockbroker,30,FIXED,1
10032,Louis Murray,Louis,Murray,"1197 Nicole Spring Apt. 369
Lake Charlestown, IA 75985",IA,75985,1957-08-24,65,789.0,12.75,male,retired,30,FIXED,0
10033,Kristin Robbins,Kristin,Robbins,"8409 Mills Prairie
Richshire, MI 29425",MI,29425,1984-07-31,38,812.0,28.29,female,salesman,30,FIXED,0
10034,Amy Bailey,Amy,Bailey,"PSC 5775, Box 4547
APO AE 18220",AE,18220,1995-01-01,28,355.0,85.4,female,electrician,30,FIXED,1
10035,Jason Gomez,Jason,Gomez,"80064 Johnston Mountains Apt. 717
New Sarah, CO 74035",CO,74035,1975-08-30,47,648.0,55.56,male,accountant,30,FIXED,0
10036,Daniel Carr,Daniel,Carr,"704 Carr Shoals
East Deborah, MI 90525",MI,90525,1966-04-29,56,596.0,57.76,male,mechanic,30,FIXED,0
10037,Dr. Nicole Patterson,Nicole,Patterson,"526 Smith Brooks
Donaldborough, GA 63896",GA,63896,1998-07-17,24,615.0,54.87,female,student,30,FIXED,0
10038,Erin Torres,Erin,Torres,"6045 Michael Ways
New Heather, MA 59914",MA,59914,1975-05-04,47,536.0,77.22,female,software developer,30,FIXED,1
10039,Allen Rich,Allen,Rich,"4872 Todd Island
Port Robert, MS 80700",MS,80700,1956-03-11,67,811.0,23.57,male,doctor,30,FIXED,0
10040,Harry Contreras,Harry,Contreras,"2198 Mayo Ways
Jessicaside, AL 78600",AL,78600,1959-04-03,64,453.0,80.93,male,stockbroker,15,FIXED,1
10041,William Brown,William,Brown,"78616 Cooke Vista Apt. 155
Maryfort, MI 60753",MI,60753,1963-09-22,59,354.0,76.54,male,salesman,30,FIXED,1
10042,Steven Harris,Steven,Harris,"009 Nichole Isle
Andrewfort, NJ 47405",NJ,47405,1988-08-25,34,805.0,34.72,male,retired,30,FIXED,0
10043,Dylan White,Dylan,White,"3800 Anne Harbor Suite 446
New Andrew, IA 92467",IA,92467,1970-02-06,53,355.0,82.5,male,investment banker,30,FIXED,1
10044,Michael Washington,Michael,Washington,"69753 Johnson Mills
Lake Melaniechester, NJ 16001",NJ,16001,2000-02-27,23,818.0,37.88,male,accountant,30,FIXED,0
10045,Sara Smith,Sara,Smith,"493 Parker Hill
Reynoldsfort, NC 54134",NC,54134,2000-12-18,22,608.0,56.87,female,salesman,30,FIXED,0
10046,Kimberly Spencer,Kimberly,Spencer,"1274 Powers Roads Suite 413
West Joantown, GU 37799",GU,37799,1982-06-19,40,791.0,34.79,female,mechanic,30,FIXED,0
10047,Laura Santiago,Laura,Santiago,"65496 Watkins Cove Suite 943
East Wesley, UT 02958",UT,02958,1977-09-10,45,381.0,82.27,female,plumber,30,FIXED,1
10048,Tiffany Harris,Tiffany,Harris,"7777 Cindy Track
South Johnton, FM 99343",FM,99343,1965-03-03,58,802.0,28.48,female,plumber,15,FIXED,0
10049,Kevin Wells,Kevin,Wells,"57927 Brown Fork Suite 555
New Catherine, GU 34264",GU,34264,1952-04-28,70,805.0,24.92,male,librarian,30,FIXED,0
10050,Suzanne Rodriguez,Suzanne,Rodriguez,"7508 Ryan Avenue Apt. 306
Mendezport, MT 29179",MT,29179,2001-03-19,22,362.0,90.26,female,plumber,30,FIXED,1
10051,Jessica Norris,Jessica,Norris,"562 Diana Circles Suite 600
New Laura, PR 92931",PR,92931,1954-03-09,69,801.0,39.25,female,teacher,30,FIXED,0
10052,Patricia Stewart,Patricia,Stewart,"73271 Amanda Dale Apt. 980
Wigginsside, MI 83950",MI,83950,1953-02-01,70,502.0,57.53,female,electrician,30,FIXED,1
10053,Jeffery West,Jeffery,West,"070 Peter Oval Suite 480
East Hannah, NH 60553",NH,60553,1976-12-15,46,359.0,92.16,male,salesman,30,FIXED,1
10054,Robert Scott,Robert,Scott,"39576 Allen Plains Suite 473
Curtisville, OH 96216",OH,96216,1958-12-12,64,344.0,90.55,male,teacher,30,FIXED,1
10055,Christina Andrews,Christina,Andrews,"9046 Wilkerson Hills Suite 926
South Laura, PR 24173",PR,24173,1961-12-05,61,478.0,67.81,female,salesman,15,FIXED,1
10056,Ronald Hardy,Ronald,Hardy,"9382 Anthony Plain Suite 099
West Savannah, GU 56549",GU,56549,1954-03-21,69,473.0,71.82,male,mechanic,30,FIXED,1
10057,Ms. Jillian Mcdaniel DVM,Jillian,Mcdaniel,"927 Heath Oval Apt. 263
East Robert, VI 74247",VI,74247,1955-04-17,68,472.0,76.3,female,student,30,FIXED,1
10058,Anthony Cooper,Anthony,Cooper,"1122 Thomas Drive
Port Michelleland, GU 88236",GU,88236,1965-09-15,57,351.0,94.24,male,lawyer,15,FIXED,1
10059,Christine Alexander,Christine,Alexander,"5382 Sanchez Forks Apt. 590
Lake Marcbury, OR 06982",OR,06982,1963-08-15,59,786.0,24.64,female,nurse,30,FIXED,1
10060,Joseph Li,Joseph,Li,"15389 Douglas Village Suite 323
Rachelshire, WY 09986",WY,09986,1969-02-23,54,347.0,82.6,male,mechanic,30,FIXED,1
10061,Kayla Mason,Kayla,Mason,"1166 Raymond Ports
Lisatown, CO 06858",CO,06858,1951-07-02,71,726.0,40.37,female,electrician,30,FIXED,0
10062,Heather Acosta,Heather,Acosta,"3032 Michael Islands
Davisborough, CO 50357",CO,50357,1990-12-24,32,785.0,46.97,female,software developer,30,FIXED,0
10063,Sierra Estrada,Sierra,Estrada,"21336 Katelyn Rapids
Matthewfurt, AL 52484",AL,52484,1970-08-08,52,765.0,37.04,female,accountant,30,FIXED,0
10064,Robert Miller,Robert,Miller,"5971 Kristy Garden Suite 514
West Travisfurt, UT 06121",UT,06121,1973-10-18,49,810.0,51.27,male,electrician,30,FIXED,0
10065,Morgan Bradford,Morgan,Bradford,"Unit 5961 Box 0096
DPO AP 41434",AP,41434,1968-03-23,55,809.0,31.38,male,retired,30,FIXED,0
10066,Sean Harper,Sean,Harper,"26945 Gibbs Turnpike
South Shannonside, GA 71596",GA,71596,1965-08-18,57,781.0,46.24,male,electrician,30,FIXED,0
10067,James Smith,James,Smith,"12977 Ryan Summit Suite 174
Michaelside, MP 94204",MP,94204,1996-12-26,26,353.0,74.61,male,electrician,30,FIXED,1
10068,Angelica Cunningham,Angelica,Cunningham,"554 Vaughn Loaf Suite 671
Parkerburgh, ME 83555",ME,83555,2002-08-09,20,354.0,85.71,female,software developer,30,FIXED,1
10069,Kevin Drake,Kevin,Drake,"738 Joshua Spring Suite 187
East Tamaramouth, LA 61384",LA,61384,1982-09-26,40,523.0,68.75,male,fireman,30,FIXED,1
10070,John Graham,John,Graham,"1928 Parks Turnpike
Henryport, OH 33680",OH,33680,1967-04-04,56,811.0,37.62,male,teacher,30,FIXED,0
10071,Edward Murphy,Edward,Murphy,"33708 Scott Glen Suite 192
Port Robertville, NM 83390",NM,83390,1978-05-15,44,800.0,22.42,male,teacher,30,FIXED,0
10072,Philip Fuller,Philip,Fuller,"974 Johnson Ford Suite 514
South Wendy, GU 73381",GU,73381,1981-07-01,41,781.0,28.46,male,student,15,FIXED,0
10073,Fernando Gonzalez,Fernando,Gonzalez,"Unit 3442 Box 8571
DPO AE 43091",AE,43091,1986-07-02,36,791.0,8.28,male,retired,30,FIXED,0
10074,Robert Patton,Robert,Patton,"103 Johnson Springs
South Traciton, DE 45221",DE,45221,2001-07-20,21,474.0,74.79,male,student,30,FIXED,1
10075,Deborah Lawrence,Deborah,Lawrence,"914 Joseph Lights Suite 821
West Brianside, KY 48386",KY,48386,1977-01-31,46,706.0,40.23,female,mason,30,FIXED,0
10076,Roy Harvey,Roy,Harvey,"86435 Griffin Knolls
Laurenside, RI 45311",RI,45311,1977-06-12,45,348.0,81.04,male,lawyer,30,FIXED,1
10077,Lisa Prince,Lisa,Prince,"204 Brittany Drives Apt. 538
West Marc, KY 34357",KY,34357,1970-02-01,53,590.0,45.88,female,mechanic,30,FIXED,0
10078,Jerry Palmer,Jerry,Palmer,"7403 Hopkins Avenue Suite 484
Littleport, NE 55750",NE,55750,1971-10-10,51,379.0,69.72,male,teacher,30,FIXED,1
10079,Ryan Jenkins,Ryan,Jenkins,"14574 Barr Mountains Apt. 825
Holtburgh, OH 74910",OH,74910,1962-06-02,60,798.0,45.87,male,plumber,30,FIXED,1
10080,Joseph Fox,Joseph,Fox,"99396 Cheryl Throughway
North Judyhaven, NH 64693",NH,64693,1987-07-16,35,588.0,55.03,male,mechanic,30,FIXED,0
10081,Lisa Gutierrez,Lisa,Gutierrez,"PSC 0234, Box 3931
APO AE 91501",AE,91501,1960-12-14,62,730.0,51.4,female,librarian,30,FIXED,0
10082,Glenda Aguilar,Glenda,Aguilar,"38229 Irwin Greens Apt. 299
Port Lisa, MO 92182",MO,92182,1957-05-19,65,796.0,3.43,female,retired,30,FIXED,0
10083,William Ross,William,Ross,"4270 Juarez Ports
South Scottland, KY 11844",KY,11844,1966-06-28,56,642.0,63.32,male,librarian,30,FIXED,0
10084,Jeremy Oneill,Jeremy,Oneill,"7492 Caldwell Stravenue
Archerborough, UT 70771",UT,70771,1993-06-16,29,724.0,44.43,male,software developer,30,FIXED,0
10085,Samantha Johnson,Samantha,Johnson,"8751 Frederick Overpass Suite 490
Carlyport, OH 47097",OH,47097,1956-12-07,66,799.0,28.83,female,student,30,FIXED,0
10086,Jacob Hudson,Jacob,Hudson,"773 Stephanie Center
Dawnview, NE 11631",NE,11631,1973-03-18,50,692.0,53.03,male,plumber,15,FIXED,0
10087,Justin Allen,Justin,Allen,"811 Hall Point
West Alexanderton, IA 36683",IA,36683,1983-06-26,39,614.0,47.95,male,data scientist,30,FIXED,0
10088,Ryan Gray,Ryan,Gray,"2076 Parker Trafficway
Lake Dale, HI 96539",HI,96539,1983-05-22,39,469.0,79.9,male,lawyer,15,FIXED,1
10089,Jean Ross,Jean,Ross,"3398 Tanya Vista
Marcusmouth, VI 97030",VI,97030,1973-12-30,49,366.0,87.86,male,fireman,30,FIXED,1
10090,Dennis Mitchell,Dennis,Mitchell,"129 Madison Manors
Michaelside, MO 37387",MO,37387,1950-03-15,73,523.0,72.14,male,teacher,30,FIXED,1
